adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh
North Kordofan,SD13,SD13026,Bara,10901,2317
North Kordofan,SD13,SD13027,Gebrat Al Sheikh,4989,1084
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,9039,1738
North Kordofan,SD13,SD13029,Gharb Bara,6366,1183
North Kordofan,SD13,SD13030,Ar Rahad,28513,5578
Northern,SD17,SD17014,Halfa,52205,10441
Northern,SD17,SD17015,Delgo,44760,8952
Northern,SD17,SD17016,Al Burgaig,39514,7902
Northern,SD17,SD17017,Dongola,50041,10582
Northern,SD17,SD17018,Al Golid,40380,8076
Northern,SD17,SD17019,Ad Dabbah,67780,13532
Northern,SD17,SD17020,Merwoe,67798,13656
Red Sea,SD10,SD10064,Port Sudan,105784,21149
Red Sea,SD10,SD10065,Tawkar,600,120
Red Sea,SD10,SD10067,Jubayt Elma'aadin,135,27
Red Sea,SD10,SD10068,Sawakin,700,140
Red Sea,SD10,SD10070,Haya,1350,270
Red Sea,SD10,SD10071,Sinkat,4040,808
River Nile,SD16,SD16008,Abu Hamad,36640,7328
River Nile,SD16,SD16009,Al Matama,84917,16999
River Nile,SD16,SD16010,Shendi,103174,20593
River Nile,SD16,SD16011,Ad Damar,134600,26950
River Nile,SD16,SD16012,Atbara,90528,17977
River Nile,SD16,SD16013,Barbar,7476,1495
River Nile,SD16,SD16014,Al Buhaira,56070,11214
Sennar,SD14,SD14037,Abu Hujar,51560,10272
Sennar,SD14,SD14038,Sennar,54068,10773
Sennar,SD14,SD14039,Ad Dali,24105,4821
Sennar,SD14,SD14040,Ad Dinder,59916,11989
Sennar,SD14,SD14041,As Suki,50259,10005
Sennar,SD14,SD14042,Sharg Sennar,45295,9059
Sennar,SD14,SD14043,Sinja,38678,7705
South Darfur,SD03,SD03143,Ed Al Fursan,6060,1212
South Darfur,SD03,SD03144,Kas,50150,10030
South Darfur,SD03,SD03145,Mershing,23050,4610
South Darfur,SD03,SD03146,Um Dafoug,2725,545
South Darfur,SD03,SD03147,Sharg Aj Jabal,22820,4564
South Darfur,SD03,SD03149,Tulus,17625,3525
South Darfur,SD03,SD03150,Al Wihda,7325,1465
South Darfur,SD03,SD03151,Nitega,6065,1213
South Darfur,SD03,SD03156,As Sunta,5300,1060
South Darfur,SD03,SD03157,Kubum,5025,1005
South Darfur,SD03,SD03158,Rehaid Albirdi,4000,800
South Darfur,SD03,SD03159,Kateila,3650,730
South Darfur,SD03,SD03161,Buram,16250,3250
South Darfur,SD03,SD03162,Beliel,119233,23845
South Darfur,SD03,SD03166,As Salam - SD,10600,2120
South Darfur,SD03,SD03167,Nyala Janoub,203575,40715
South Darfur,SD03,SD03172,Damso,2750,550
South Kordofan,SD07,SD07088,Abu Jubayhah,8913,1667
South Kordofan,SD07,SD07089,Talawdi,2013,402
South Kordofan,SD07,SD07090,Abassiya,15120,2743
South Kordofan,SD07,SD07093,Ar Rashad,4987,1063
South Kordofan,SD07,SD07094,Al Quoz,1965,362
South Kordofan,SD07,SD07095,Dilling,8588,1924
South Kordofan,SD07,SD07097,Ar Reif Ash Shargi,21610,4322
South Kordofan,SD07,SD07098,Kadugli,8392,1639
South Kordofan,SD07,SD07103,Habila - SK,7672,1603
South Kordofan,SD07,SD07104,Abu Kershola,6779,1265
South Kordofan,SD07,SD07105,Al Leri,1230,186
South Kordofan,SD07,SD07106,At Tadamon - SK,1120,200
South Kordofan,SD07,SD07107,Delami,1420,284
South Kordofan,SD07,SD07108,Ghadeer,2460,480
West Darfur,SD04,SD04115,Ag Geneina,11250,2250
West Darfur,SD04,SD04121,Foro Baranga,3900,780
West Darfur,SD04,SD04123,Jebel Moon,35165,7033
West Darfur,SD04,SD04127,Kulbus,29560,5912
West Darfur,SD04,SD04134,Sirba,25875,5175
West Kordofan,SD18,SD18021,Ghubaish,5181,1106
West Kordofan,SD18,SD18022,An Nuhud,7422,1311
West Kordofan,SD18,SD18028,Abu Zabad,3713,705
West Kordofan,SD18,SD18029,Wad Bandah,4450,827
West Kordofan,SD18,SD18085,Keilak,1208,207
West Kordofan,SD18,SD18086,As Salam - WK,4447,989
West Kordofan,SD18,SD18087,Abyei,3053,570
West Kordofan,SD18,SD18092,As Sunut,1286,278
West Kordofan,SD18,SD18100,Babanusa,3409,685
West Kordofan,SD18,SD18102,Al Lagowa,1656,263
West Kordofan,SD18,SD18103,Al Dibab,4314,859
West Kordofan,SD18,SD18104,Al Idia,3783,633
West Kordofan,SD18,SD18105,Al Khiwai,3136,635
West Kordofan,SD18,SD18106,Al Meiram,1052,224
White Nile,SD09,SD09044,Ad Diwaim,62992,12727
White Nile,SD09,SD09045,Um Rimta,18712,3739
White Nile,SD09,SD09046,Rabak,22086,4499
White Nile,SD09,SD09047,Kosti,18089,3616
White Nile,SD09,SD09048,Tendalti,17528,3478
White Nile,SD09,SD09049,As Salam / Ar Rawat,45479,9043
White Nile,SD09,SD09050,Al Gitaina,29510,5897
White Nile,SD09,SD09051,Aj Jabalain,69914,13982
White Nile,SD09,SD09052,Guli,4085,817
