Year,month,Departament,Municipality,IDPs
2022,4,Cauca,Argelia,95
2021,10,Valle del Cauca,Buenaventura,171
2021,10,Valle del Cauca,Buenaventura,65
2021,10,Valle del Cauca,Buenaventura,58
2021,10,Valle del Cauca,Buenaventura,66
2021,10,Valle del Cauca,Buenaventura,98
2022,5,Nariño,Santa Bárbara (Iscuandé),24
2022,5,Nariño,Santa Bárbara (Iscuandé),22
2022,5,Nariño,Santa Bárbara (Iscuandé),49
2022,5,Nariño,Santa Bárbara (Iscuandé),42
2022,5,Chocó,Sipí,67
2022,6,Risaralda,Pueblo Rico,122
2021,5,Nariño,Tumaco,0
2022,5,Córdoba,Puerto Libertador,8
2022,5,Córdoba,Puerto Libertador,620
2022,2,Nariño,El Charco,299
2022,4,Nariño,Roberto Payán (San José),22
2022,4,Nariño,Roberto Payán (San José),36
2022,4,Nariño,Roberto Payán (San José),66
2022,4,Nariño,Roberto Payán (San José),34
2022,5,Córdoba,Tierralta,143
2022,7,Chocó,Bagadó,430
2022,8,Bolivar,Santa Rosa del Sur,638
2022,9,Nariño,Olaya Herrera,51
2022,9,Nariño,Olaya Herrera,31
2022,9,Nariño,Olaya Herrera,54
2022,9,Nariño,Olaya Herrera,38
2022,4,Chocó,Alto Baudó (Pie de Pato),61
2022,12,Nariño,Olaya Herrera,960
2022,11,Putumayo,San Miguel,62
2022,11,Nariño,Santa Bárbara (Iscuandé),32
2022,11,Nariño,Santa Bárbara (Iscuandé),33
2022,11,Nariño,Santa Bárbara (Iscuandé),51
2022,11,Nariño,Santa Bárbara (Iscuandé),51
2022,9,Nariño,Olaya Herrera,32
2022,9,Nariño,Olaya Herrera,33
2022,9,Nariño,Olaya Herrera,47
2022,9,Nariño,Olaya Herrera,55
2022,11,Nariño,Barbacoas,128
2022,4,Valle del Cauca,Buenaventura,285
2022,2,Chocó,Quibdó,9
2022,2,Chocó,Quibdó,20
2022,2,Chocó,Quibdó,16
2022,2,Chocó,Quibdó,34
2022,2,Chocó,Quibdó,29
2022,8,Chocó,Lloró,33
2022,8,Chocó,Lloró,11
2022,8,Chocó,Lloró,10
2022,11,Nariño,El Charco,18
2022,11,Nariño,El Charco,17
2022,11,Nariño,El Charco,31
2022,11,Nariño,El Charco,32
2021,7,Cauca,Argelia,158
2021,7,Cauca,Argelia,90
2021,8,Cauca,Argelia,23
2021,8,Cauca,Argelia,99
2021,7,Bolivar,Montecristo,1401
2021,7,Nariño,Tumaco,53
2021,9,Nariño,Magüi (Payán),221
2021,9,Chocó,Medio San Juan (ANDAGOYA),1021
2021,3,Antioquia,Murindó,13
2021,3,Antioquia,Murindó,54
2021,3,Antioquia,Murindó,86
2021,6,Nariño,Roberto Payán (San José),69
2021,6,Nariño,Roberto Payán (San José),78
2021,6,Nariño,Roberto Payán (San José),74
2021,6,Nariño,Roberto Payán (San José),56
2021,6,Nariño,Roberto Payán (San José),376
2021,3,Valle del Cauca,Buenaventura,107
2021,2,Valle del Cauca,Buenaventura,113
2021,11,Cauca,Argelia,210
2021,8,Norte de Santander,San Calixto,90
2021,11,Guaviare,San José del Guaviare,120
2021,11,Norte de Santander,Teorama,261
2021,10,Valle del Cauca,Buenaventura,104
2021,10,Valle del Cauca,Buenaventura,1948
2021,12,Guaviare,San José del Guaviare,3
2021,12,Guaviare,San José del Guaviare,7
2021,12,Guaviare,San José del Guaviare,6
2021,12,Guaviare,San José del Guaviare,7
2021,12,Guaviare,San José del Guaviare,9
2021,12,Guaviare,San José del Guaviare,12
2021,11,Valle del Cauca,Buenaventura,288
2022,1,Arauca,Saravena,20
2022,1,Arauca,Saravena,1102
2022,1,Arauca,Arauquita,300
2022,1,Arauca,Arauquita,131
2022,2,Arauca,Arauca,18
2022,2,Arauca,Arauca,18
2022,2,Arauca,Arauca,21
2022,2,Arauca,Arauca,24
2022,1,Arauca,Arauca,201
2022,1,Nariño,La Tola,55
2022,1,Nariño,La Tola,39
2022,1,Nariño,La Tola,65
2022,1,Nariño,La Tola,68
2022,2,Nariño,Roberto Payán (San José),758
2022,1,Cauca,Suárez,192
2022,4,Putumayo,Puerto Leguízamo,32
2022,4,Putumayo,Puerto Leguízamo,25
2021,12,Chocó,Tadó,86
2022,1,Chocó,Medio San Juan (ANDAGOYA),244
2022,3,Nariño,El Charco,719
2021,3,Córdoba,Tierralta,283
2022,1,Chocó,Medio San Juan (ANDAGOYA),372
2022,8,Bolivar,Arenal,1248
2022,10,Bolivar,Santa Rosa del Sur,63
2022,10,Bolivar,Santa Rosa del Sur,20
2022,10,Bolivar,Santa Rosa del Sur,32
2022,10,Bolivar,Santa Rosa del Sur,18
2022,10,Bolivar,Santa Rosa del Sur,6
2022,10,Bolivar,Santa Rosa del Sur,8
2022,10,Bolivar,Santa Rosa del Sur,11
2022,4,Nariño,Magüi (Payán),839
2022,7,Norte de Santander,Teorama,63
2022,11,Putumayo,Puerto Guzmán,191
2023,1,Nariño,Olaya Herrera,213
2023,1,Nariño,Olaya Herrera,215
2023,1,Nariño,Olaya Herrera,259
2023,1,Nariño,Olaya Herrera,296
2023,1,Nariño,Tumaco,91
2023,1,Nariño,Tumaco,91
2023,1,Nariño,Tumaco,122
2023,1,Nariño,Tumaco,135
2023,1,Nariño,La Tola,475
2023,2,Putumayo,Puerto Caicedo,10
2023,2,Putumayo,Puerto Caicedo,30
2023,1,Nariño,Tumaco,4
2023,1,Nariño,Tumaco,5
2023,1,Nariño,Tumaco,7
2023,1,Nariño,Tumaco,8
2023,1,Nariño,Tumaco,20
2023,1,Nariño,El Charco,144
2023,1,Nariño,El Charco,145
2023,1,Nariño,El Charco,232
2023,1,Nariño,El Charco,266
2023,1,Caquetá,La Montañita,2
2023,1,Caquetá,La Montañita,20
2023,1,Caquetá,La Montañita,22
2023,2,Cauca,Argelia,582
2023,2,Cauca,Argelia,592
2023,2,Nariño,Roberto Payán (San José),70
2023,2,Nariño,Roberto Payán (San José),130
2023,2,Nariño,Roberto Payán (San José),164
2023,2,Nariño,Roberto Payán (San José),199
2023,2,Nariño,Magui,139
2023,2,Nariño,Olaya Herrera,31
2023,2,Nariño,Olaya Herrera,43
2023,2,Nariño,Olaya Herrera,59
2023,2,Nariño,Olaya Herrera,63
2023,2,Nariño,Roberto Payán (San José),34
2023,2,Nariño,Roberto Payán (San José),47
2023,2,Nariño,Roberto Payán (San José),49
2023,2,Nariño,Roberto Payán (San José),60
2023,2,Nariño,Roberto Payán (San José),69
2023,2,Nariño,Roberto Payán (San José),70
2023,2,Nariño,Roberto Payán (San José),72
2023,2,Nariño,Roberto Payán (San José),106
2023,2,Nariño,Roberto Payán (San José),518
2023,2,Cauca,Argelia,222
2023,2,Cauca,Argelia,238
2023,2,Nariño,Olaya Herrera,36
2023,2,Nariño,Olaya Herrera,38
2023,2,Nariño,Olaya Herrera,40
2023,2,Nariño,Olaya Herrera,42
2023,1,Valle Del Cauca,Buenaventura,106
2023,2,Valle Del Cauca,Buenaventura,374
2023,1,Valle Del Cauca,Buenaventura,55
2023,1,Valle Del Cauca,Cali,285
2023,1,Valle Del Cauca,Buenaventura,106
2023,3,Nariño,Tumaco,14
2023,2,Nariño,Magui,440
2023,2,Nariño,Roberto Payán (San José),131
2023,3,Nariño,Olaya Herrera,5
2023,3,Nariño,Olaya Herrera,77
2023,3,Nariño,Olaya Herrera,96
2023,3,Nariño,Olaya Herrera,106
2023,3,Nariño,Olaya Herrera,117
2023,3,Chocó,Quibdó,24
2023,3,Bolívar,Arenal,357
2023,3,Bolívar,Morales,483
2023,3,Nariño,Tumaco,10
2023,3,Nariño,Tumaco,1431
2023,3,Cauca,Argelia,26
2023,3,Cauca,Argelia,30
2023,3,Cauca,Argelia,75
2023,3,Cauca,Argelia,82
2023,3,Nariño,Santa Bárbara (Iscuandé),11
2023,3,Valle Del Cauca,Buenaventura,400
2023,3,Meta,La Macarena,0
2023,4,Chocó,Novita,22
2023,4,Chocó,Novita,29
2023,3,Valle Del Cauca,Buenaventura,247
2023,2,Amazonas,La Pedrera,1
2023,2,Amazonas,La Pedrera,1
2023,2,Amazonas,La Pedrera,1
2023,3,Amazonas,La Chorrera,2
2023,3,Amazonas,La Chorrera,2
2023,3,Amazonas,La Pedrera,48
2023,4,Valle Del Cauca,Buenaventura,266
2023,4,Antioquia,Frontino,48
2023,4,Nariño,Magui,760
2023,4,Antioquia,Segovia,40
2023,4,Arauca,Saravena,27
2023,4,Arauca,Saravena,93
2023,4,Tolima,Cunday,23
2023,1,Risaralda,Pueblo Rico,350
2023,4,Norte De Santander,El Tarra,378
2023,1,Valle Del Cauca,Buenaventura,25
2023,2,Valle Del Cauca,Buenaventura,0
2023,5,Valle Del Cauca,Buenaventura,110
2023,5,La Guajira,Riohacha,150
2023,3,Nariño,Roberto Payán (San José),73
2023,3,Nariño,Roberto Payán (San José),146
2023,3,Nariño,Ricaurte,48
2023,3,Nariño,Tumaco,53
2023,5,Cauca,Caldono,17
2023,5,Cauca,Caldono,25
2023,4,Nariño,Magui,1089
2023,4,Nariño,Olaya Herrera,55
2023,4,Nariño,Olaya Herrera,103
2023,4,Nariño,Roberto Payán (San José),276
2023,4,Nariño,Magui,244
2023,4,Nariño,Magui,73
2023,4,Norte De Santander,Convención,4
2023,4,Norte De Santander,Convención,8
2023,4,Norte De Santander,Convención,71
2023,4,Norte De Santander,Convención,75
2023,4,Norte De Santander,Convención,89
2023,4,Norte De Santander,Convención,96
2023,1,Valle Del Cauca,Cali,285
2023,4,Valle Del Cauca,Cali,58
2023,5,Nariño,Barbacoas,338
2023,2,Córdoba,Tierralta,41
2023,2,Córdoba,Tierralta,41
2023,2,Córdoba,Tierralta,43
2023,2,Córdoba,Tierralta,57
2023,5,Nariño,Ricaurte,824
2023,5,Caquetá,Puerto Rico,5
2023,5,Valle Del Cauca,Sevilla,115
2023,5,Chocó,Novita,29
2023,5,Chocó,Novita,466
2023,5,Chocó,Sipí,377
2023,5,Chocó,Sipí,847
2023,5,Norte De Santander,Teorama,2
2023,5,Norte De Santander,Teorama,3
2023,5,Norte De Santander,Teorama,20
2023,5,Norte De Santander,Teorama,30
2023,5,Norte De Santander,Teorama,34
2023,5,Norte De Santander,Teorama,40
2023,5,Caquetá,San Vicente Del Caguán,27
2023,6,Nariño,Olaya Herrera,400
2023,6,Nariño,Roberto Payán (San José),52
2023,6,Nariño,Olaya Herrera,55
2023,6,Nariño,Ricaurte,2773
2023,6,Nariño,Sotomayor (Los Andes),294
2023,6,Chocó,Sipí,80
2023,6,Chocó,Sipí,84
2023,6,Chocó,Sipí,86
2023,6,Chocó,Sipí,87
2023,6,Valle Del Cauca,Buenaventura,60
2023,6,Valle Del Cauca,Buenaventura,403
2023,6,Valle Del Cauca,El Dovio,676
2023,6,Nariño,Ricaurte,791
2023,6,Antioquia,Segovia,77
2023,6,Bolívar,Santa Rosa Del Sur,7
2023,6,Bolívar,Santa Rosa Del Sur,9
2023,6,Bolívar,Santa Rosa Del Sur,56
2023,6,Bolívar,Santa Rosa Del Sur,63
2023,6,Bolívar,Santa Rosa Del Sur,64
2023,6,Bolívar,Santa Rosa Del Sur,74
2023,6,Chocó,Sipí,200
2023,6,Chocó,Quibdó,49
2023,6,Chocó,Bagado,319
2023,7,Nariño,Barbacoas,94
2023,7,Norte De Santander,Tibú,1
2023,7,Norte De Santander,Tibú,2
2023,7,Norte De Santander,Tibú,9
2023,7,Norte De Santander,Tibú,10
2023,7,Norte De Santander,Tibú,10
2023,7,Norte De Santander,Tibú,11
2023,7,Norte De Santander,Tibú,18
2023,7,Norte De Santander,Tibú,26
2023,7,Norte De Santander,Tibú,42
2023,7,Norte De Santander,Tibú,46
2023,7,Norte De Santander,Tibú,64
2023,7,Meta,Vista Hermosa,75
2023,7,Meta,Vista Hermosa,120
2023,7,Meta,Vista Hermosa,151
2023,7,Chocó,Sipí,33
2023,7,Chocó,Istmina,172
2023,7,Chocó,Sipí,75
2023,7,Arauca,Tame,3
2023,7,Arauca,Tame,66
2023,7,Nariño,La Llanada,7
2023,7,Nariño,La Llanada,8
2023,7,Nariño,La Llanada,9
2023,7,Nariño,La Llanada,11
2023,7,Nariño,La Llanada,565
2023,7,Cauca,Argelia,282
2023,7,Cauca,Argelia,412
2023,7,Nariño,Sotomayor (Los Andes),292
2023,7,Chocó,El Litoral Del San Juan,60
2023,7,Huila,La Plata,398
2023,7,Huila,La Plata,469
2023,7,Valle Del Cauca,Buenaventura,62
2023,7,Nariño,Barbacoas,118
2023,7,Putumayo,Puerto Guzmán,150
2023,7,Nariño,Ricaurte,52
2023,7,Bolívar,Montecristo,2
2023,7,Bolívar,Montecristo,20
2023,7,Bolívar,Montecristo,27
2023,7,Bolívar,Montecristo,31
2023,7,Bolívar,Montecristo,32
2023,8,Nariño,Tumaco,448
2023,8,Nariño,Samaniego,402
2023,8,Nariño,La Llanada,633
2023,8,Nariño,Samaniego,70
2023,8,Nariño,Samaniego,583
2023,8,Cauca,López De Micay,174
2023,8,Cauca,López De Micay,216
2023,8,Nariño,Samaniego,830
2023,8,Cauca,Argelia,567
2023,8,Cauca,Argelia,672
2023,8,Nariño,Samaniego,380
2023,8,La Guajira,Riohacha,3
2023,8,La Guajira,Riohacha,80
2023,8,La Guajira,Riohacha,104
2023,8,La Guajira,Riohacha,234
2023,8,Nariño,Ricaurte,240
2023,8,Chocó,Tadó,43
2023,8,Chocó,Tadó,75
2023,8,Chocó,Tadó,77
2023,8,Arauca,Puerto Rondón,2
2023,8,Arauca,Puerto Rondón,5
2023,8,Arauca,Puerto Rondón,6
2023,8,Arauca,Puerto Rondón,6
2023,8,Arauca,Puerto Rondón,40
2023,8,Arauca,Puerto Rondón,45
2023,8,Arauca,Puerto Rondón,66
2023,8,Arauca,Puerto Rondón,99
2023,8,Bolívar,Santa Rosa Del Sur,3
2023,8,Bolívar,Santa Rosa Del Sur,6
2023,8,Bolívar,Santa Rosa Del Sur,6
2023,8,Bolívar,Santa Rosa Del Sur,19
2023,8,Bolívar,Santa Rosa Del Sur,28
2023,8,Bolívar,Santa Rosa Del Sur,32
2023,8,Bolívar,Santa Rosa Del Sur,56
2023,8,Bolívar,Santa Rosa Del Sur,96
2023,8,Antioquia,Segovia,1000
2023,8,Meta,Mesetas,59
2023,8,Meta,Mesetas,143
2023,9,Arauca,Tame,2
2023,9,Arauca,Tame,15
2023,9,Arauca,Tame,47
2023,9,Nariño,Guachavés,2752
2023,9,Nariño,Samaniego,626
2023,9,Chocó,Quibdó,44
2023,9,Chocó,Quibdó,47
2023,9,Chocó,Quibdó,57
2023,9,Chocó,Quibdó,63
2023,9,Nariño,Magui,180
2023,9,Nariño,Barbacoas,264
2023,9,Antioquia,Segovia,79
2023,9,Bolívar,Santa Rosa Del Sur,400
2023,9,Putumayo,Puerto Asís,212
2023,9,Putumayo,Puerto Asís,297
2023,9,Putumayo,Puerto Asís,1023
2023,9,Putumayo,Puerto Asís,1329
2023,9,Cauca,Argelia,73
2023,9,Cauca,Argelia,76
2023,9,Cauca,Argelia,147
2023,9,Nariño,Barbacoas,26
2023,9,Nariño,Samaniego,50
2023,9,Nariño,Ricaurte,80
2023,9,Nariño,Ricaurte,1500
2023,9,Nariño,Ricaurte,66
2023,10,Nariño,Guachavés,1440
2023,10,Nariño,Samaniego,873
2023,10,Bolívar,Morales,3928
2023,10,Chocó,Medio San Juan (Andagoya),23
2023,10,Chocó,Medio San Juan (Andagoya),29
2023,10,Chocó,Medio San Juan (Andagoya),36
2023,10,Chocó,Medio San Juan (Andagoya),40
2023,10,Putumayo,Puerto Guzmán,62
2023,10,Putumayo,Puerto Guzmán,102
